agent,num_nodes,num_services,episodes,seed,mean_reward,std_reward,max_reward,min_reward,placement_rate,failed_count,used_nodes,avg_cpu_util,avg_mem_util,max_cpu_util,max_mem_util,cpu_imbalance,mem_imbalance,hotspot_count,total_latency_cost,avg_latency_cost,failed_dependency_edges,effective_latency_cost,avg_effective_latency_cost
Random,5,8,50,555,-87.77968352479957,53.70999138329414,-18.779816365017655,-303.2877216279603,0.7175,2.26,3.86,0.48083260000000005,0.47009749999999995,0.7903730000000002,0.78674025,0.22437920764414465,0.22860439487667336,1.12,18.271967855741362,2.8965134295441244,4.38,47.50796785574136,7.552508660768464
First-Fit,5,8,50,555,-147.24609222154518,71.66398724951782,-12.536366017781283,-354.7519807126023,0.995,0.04,3.22,0.5529576,0.5197875,0.9166679999999999,0.888125625,0.3007536254381929,0.2953229311666967,2.18,24.259739919749066,3.86833131575446,0.08,24.69773991974906,3.94025249802047
Least-Loaded,5,8,50,555,-59.879983187122335,61.78698170600804,5.128922959845438,-210.48510965402465,0.995,0.04,4.78,0.6143176,0.6006849999999999,0.8294794999999999,0.834390625,0.15933707750559867,0.1588249085270215,1.76,35.32316475034872,5.600772131238958,0.06,35.69116475034872,5.6602463187919625
Round-Robin,5,8,50,555,-68.49960823484194,61.69721252903223,2.041697952592518,-227.85845293795325,0.99,0.08,4.78,0.6129625999999999,0.5849725,0.871721,0.8190335000000001,0.2004393594590472,0.18389490455916122,1.82,42.973065960995484,6.853427898771937,0.18,43.88906596099549,6.997196249502116
PPO,5,8,50,555,-38.893234730782794,40.85225878882454,10.238552932735008,-154.6895815028181,0.96,0.32,4.38,0.5201726,0.5074450000000001,0.7773497500000001,0.7676757500000001,0.1961513114965631,0.1976224720129515,1.1,33.3159729155727,5.307835676612605,0.7,37.5559729155727,5.990026427481191
DQN,5,8,50,555,-28.005071052532248,40.55921895482486,9.989818086674987,-181.51104576073186,0.9775,0.18,4.8,0.5798176,0.5623225000000001,0.774091,0.767536125,0.14873370428763144,0.14437104342566184,1.08,31.85066434980313,5.061531466140155,0.36,34.16866434980313,5.423812604685443
A2C,5,8,50,555,-43.34644163063328,51.48900633168228,9.427571391601663,-200.85119892301162,0.96,0.32,4.62,0.5598876,0.544145,0.7820315000000002,0.78136425,0.16952478268587054,0.1695258519418876,1.24,33.49550268800714,5.3451450815636345,0.74,38.343502688007135,6.120985293846091
