agent,num_nodes,num_services,episodes,seed,mean_reward,std_reward,max_reward,min_reward,placement_rate,failed_count,used_nodes,avg_cpu_util,avg_mem_util,max_cpu_util,max_mem_util,cpu_imbalance,mem_imbalance,hotspot_count,total_latency_cost,avg_latency_cost,failed_dependency_edges,effective_latency_cost,avg_effective_latency_cost
Random,5,8,50,333,-100.43918573141285,61.51613264628908,-12.562599086497597,-277.091417091233,0.725,2.2,3.76,0.4908893,0.4964395750000001,0.805068,0.8124291249999999,0.23644414013776205,0.23767978188961625,1.38,17.276279598994595,2.7237898779011225,4.32,46.4162795989946,7.329469916601755
First-Fit,5,8,50,333,-141.9060436642809,71.45236418187734,-12.691491905705766,-356.6890665296547,0.9925,0.06,3.32,0.5511543,0.5620270749999999,0.9116215,0.913067875,0.2960125574853535,0.2954036718049838,2.34,27.94267813778736,4.393987111237802,0.1,28.50867813778736,4.483239902218237
Least-Loaded,5,8,50,333,-65.49646626416545,53.6493997584607,4.6395087759104845,-181.61439433455553,0.9925,0.06,4.8,0.6109543,0.6270545750000001,0.8374177499999998,0.8492268749999999,0.16778393526029514,0.15687857345409467,1.88,36.36410355482658,5.724464563527229,0.1,36.93010355482658,5.813717354507665
Round-Robin,5,8,50,333,-80.3406780273428,62.545905112687244,2.964964354780706,-291.16941725884953,0.99,0.08,4.78,0.6109943000000001,0.6300070750000001,0.8542655,0.8739169999999998,0.18435042088956813,0.19054423644034077,2.0,43.620801797408184,6.859583503133533,0.14,44.38680179740819,6.983082869456434
PPO,5,8,50,333,-43.14041980887757,46.381053089525146,11.002349516095409,-192.57149242169743,0.9625,0.3,4.46,0.5313292999999999,0.5587320749999999,0.7945234999999999,0.8006245000000001,0.19294181109161537,0.18723638506392073,1.26,32.193130031094555,5.058288380643456,0.74,36.75313003109456,5.767263654116365
DQN,5,8,50,333,-27.038698070753913,31.02898452728984,5.190136473712724,-128.05665778981475,0.955,0.36,4.72,0.5674993,0.582792075,0.7754202500000001,0.788779,0.15457911857699735,0.1524947997091919,1.04,31.648605461342402,4.96635811152462,0.78,36.76060546134241,5.784799088513273
A2C,5,8,50,333,-36.58351255965167,38.14113816898388,6.9852479967693375,-154.9466838665253,0.95,0.4,4.6,0.5590843000000001,0.5795120750000001,0.7843892500000001,0.7783288750000001,0.17445466113909425,0.15957487284694555,1.26,32.658543026066575,5.118040305487884,0.84,38.08054302606657,5.98241489011009
