#{"t_start": 1779524107.8075707, "env_id": "None"}
r,l,t
-194.360481,8,4.675974
-200.48119,8,4.695791
-2.383493,8,4.724284
-90.991453,8,4.753757
-84.771556,8,4.769884
-127.715028,8,4.794052
-162.010392,8,4.809009
-5.353574,8,4.834544
-35.956713,8,4.857976
-151.141185,8,4.881016
-103.662054,8,4.884329
-89.107333,8,4.901155
-130.19323,8,4.917493
-172.1954,8,4.937147
-227.798621,8,4.95163
-43.996602,8,4.967083
-73.302697,8,4.985151
-29.03306,8,5.002136
-120.839907,8,5.021594
-172.504608,8,5.034269
-54.860507,8,5.054451
-99.579119,8,5.066254
-225.417632,8,5.07631
-83.250646,8,5.104685
-41.703689,8,5.117741
-121.31558,8,5.139502
-22.818641,8,5.152561
-59.805998,8,5.450135
-118.791723,8,5.47929
-51.553112,8,5.483726
-149.737359,8,5.519386
-205.384389,8,5.536982
-125.648109,8,5.552922
-113.42034,8,5.583063
-11.052536,8,5.603682
-89.342897,8,5.624831
-48.313286,8,5.633016
-12.011281,8,5.674874
-128.616152,8,5.700644
-110.922291,8,5.712428
-110.274169,8,5.730407
-66.35371,8,5.751784
-77.184306,8,5.773422
-114.385322,8,5.790372
-85.975081,8,5.799371
-175.880911,8,5.819607
-33.472968,8,5.831148
-160.581787,8,5.848858
-155.103997,8,5.862644
-74.929733,8,5.874588
-68.715155,8,5.890136
-39.148824,8,5.905855
-117.717654,8,5.92253
-137.174641,8,5.935519
-244.454502,8,5.945556
-158.144724,8,5.960752
-138.626221,8,5.972792
-148.366809,8,5.987287
-52.355049,8,6.012717
-65.752332,8,6.024904
-56.325156,8,6.039969
-32.694069,8,6.053588
-115.895847,8,6.071347
-43.648405,8,6.086661
-232.919918,8,6.100936
-11.139033,8,6.126641
-135.133506,8,6.139046
-27.211035,8,6.15438
-118.888114,8,6.170578
-99.268202,8,6.18569
-43.362471,8,6.207265
-50.80039,8,6.223625
-32.449998,8,6.241871
-28.696341,8,6.257928
-57.412501,8,6.271733
-63.931478,8,6.287536
-115.957679,8,6.298882
-167.816898,8,6.312838
-65.349455,8,6.328902
-196.153366,8,6.343468
-101.478069,8,6.360481
-59.527646,8,6.368466
-126.617208,8,6.391449
-139.222975,8,6.417078
-125.345148,8,6.431834
-60.286744,8,6.45476
-121.800114,8,6.468325
-50.680758,8,6.483809
-147.031375,8,6.503358
-79.367246,8,6.514902
-203.395147,8,6.535926
-107.986901,8,6.556021
-208.260155,8,6.57382
-45.773702,8,6.590132
-15.474242,8,6.593645
-47.467321,8,6.625498
-138.442906,8,6.634358
-55.837916,8,6.655875
-42.295594,8,6.683494
-25.90264,8,6.696594
-25.93701,8,6.714698
-75.76853,8,6.732473
-24.196474,8,6.760115
-120.312028,8,6.789252
-110.562962,8,6.806905
-38.429167,8,6.819364
-137.817633,8,6.835707
-56.403135,8,6.858373
-174.475411,8,6.889923
-125.998241,8,6.900109
-34.11539,8,6.916717
-139.667586,8,6.932372
-35.186515,8,6.949369
-20.280218,8,6.964303
-54.140999,8,6.968322
-109.186557,8,6.993016
-84.135839,8,7.011767
-178.954877,8,7.029574
-197.72681,8,7.045369
-36.968263,8,7.059405
-92.846695,8,7.084918
-74.453071,8,7.098881
-126.463357,8,7.116225
-23.375221,8,7.134732
-35.879846,8,7.138767
-96.603328,8,7.156728
-16.512753,8,7.178267
-95.510977,8,7.186026
-54.028857,8,7.215193
-67.858367,8,7.233442
-83.348981,8,7.249442
-9.317928,8,7.265363
-80.206568,8,7.281196
-51.360171,8,7.310499
-144.424067,8,7.316527
-111.220338,8,7.346526
-103.406561,8,7.3667
-16.950987,8,7.391984
-56.801508,8,7.41859
-47.776839,8,7.434821
-110.688033,8,7.461976
-94.927233,8,7.469743
-129.674598,8,7.485817
-177.817801,8,7.501471
-42.489354,8,7.517459
-12.576143,8,7.542299
-96.014614,8,7.561594
-64.027284,8,7.58375
-115.915582,8,7.603884
-186.555773,8,7.617291
-22.620927,8,7.641742
-93.727714,8,7.658741
-49.069284,8,7.691771
-55.87348,8,7.717077
-175.894001,8,7.730077
-80.550656,8,7.747072
-60.815791,8,7.760888
-168.569557,8,7.790586
-18.64736,8,7.815368
-39.655438,8,7.829677
-96.899043,8,7.852372
-84.477764,8,7.869025
-97.132688,8,7.893312
-140.707539,8,7.912902
-225.144281,8,7.922677
-54.39664,8,7.939293
-57.26005,8,7.955882
-89.894827,8,7.972517
-23.864793,8,7.990644
-159.820058,8,8.005886
-237.262017,8,8.02006
-160.613958,8,8.036754
-123.708963,8,8.051148
-117.514777,8,8.072006
-130.177881,8,8.084056
-51.224666,8,8.097817
-24.730714,8,8.111317
-85.584681,8,8.131021
-51.24822,8,8.142808
-75.519225,8,8.142808
-21.605025,8,8.160478
-62.107847,8,8.176635
-137.699062,8,8.190503
-109.676883,8,8.210393
-120.807147,8,8.22042
-68.747816,8,8.238229
-94.596151,8,8.238229
-81.072363,8,8.253944
-103.38333,8,8.269976
-40.916617,8,8.291123
-100.109541,8,8.305709
-110.883607,8,8.314709
-123.345366,8,8.334743
-168.25457,8,8.350306
-45.967354,8,8.364308
-47.892085,8,8.380196
-67.627886,8,8.385122
-73.291644,8,8.396166
-41.184613,8,8.41234
-21.398176,8,8.429985
-96.666413,8,8.459843
-41.253477,8,8.487748
-63.361176,8,8.507329
-87.942267,8,8.52298
-74.832285,8,8.535024
-162.926227,8,8.54881
-154.795989,8,8.554574
-77.966878,8,8.5703
-115.607088,8,8.599665
-21.81865,8,8.612921
-57.094738,8,8.626972
-49.782234,8,8.638758
-179.865976,8,8.653543
-153.77131,8,8.673715
-37.626476,8,8.686643
-204.418828,8,8.705605
-6.162037,8,8.716416
-51.734339,8,8.729481
-45.112916,8,8.745476
-126.865027,8,8.756845
-31.905051,8,8.783808
-43.552086,8,8.796913
-17.283213,8,8.813431
-142.737508,8,8.833725
-55.436778,8,8.851723
-38.906818,8,8.870124
-99.652519,8,8.885765
-17.288226,8,8.908469
-20.339612,8,8.936725
-59.307827,8,8.951379
-36.458607,8,8.971107
-126.799171,8,8.985769
-86.520523,8,9.005985
-169.542051,8,9.022691
-166.53645,8,9.039393
-7.952304,8,9.060893
-33.105678,8,9.072661
-210.836235,8,9.089298
-52.984926,8,9.106848
-106.708945,8,9.127872
-46.685063,8,9.152406
-48.82075,8,9.166035
-26.164073,8,9.184759
-63.691577,8,9.202412
-45.228038,8,9.20579
-89.510515,8,9.239383
-69.85718,8,9.253494
-112.998509,8,9.271496
-20.96437,8,9.283498
-82.801833,8,9.293544
-40.214569,8,9.2993
-130.001443,8,9.315264
-40.217127,8,9.33519
-104.94773,8,9.359506
-65.751343,8,9.371047
-103.461239,8,9.386833
-86.723627,8,9.398613
-155.331602,8,9.418422
-58.972476,8,9.439397
-132.446824,8,9.45587
-30.789307,8,9.477654
-115.879278,8,9.491076
-43.089102,8,9.504876
-156.900749,8,9.528713
-40.934651,8,9.545
-148.540752,8,9.567159
-60.963043,8,9.583648
-48.398413,8,9.597969
-45.129773,8,9.61377
-71.774571,8,9.629791
-42.082475,8,9.645792
-147.572224,8,9.661615
-37.213324,8,9.689953
-61.485971,8,9.709721
-34.505975,8,9.7236
-56.583972,8,9.738865
-23.02017,8,9.75632
-22.304185,8,9.783771
-40.68075,8,9.824066
-160.07514,8,9.847526
-164.244814,8,9.870528
-124.579282,8,9.884794
-90.93509,8,9.908583
-143.98533,8,9.947174
-62.063104,8,9.966895
-58.843479,8,9.986564
-168.417703,8,10.006316
-139.913918,8,10.0402
-25.749514,8,10.065541
-81.53702,8,10.084906
-131.584914,8,10.106592
-51.413891,8,10.122442
-99.63628,8,10.186364
-112.177602,8,10.211307
-14.734661,8,10.249948
-49.479976,8,10.288748
-73.292345,8,10.312976
-41.52499,8,10.340898
-15.228614,8,10.373239
-97.54641,8,10.396266
-7.990072,8,10.429191
-51.491903,8,10.452166
-47.364624,8,10.479323
-65.413669,8,10.508922
-134.91618,8,10.524801
-17.909255,8,10.542975
-46.444956,8,10.555634
-22.839336,8,10.575182
-117.155792,8,10.603638
-241.431957,8,10.620772
-44.241361,8,10.638899
-237.681375,8,10.65186
-66.48053,8,10.672997
-129.947932,8,10.692999
-180.676396,8,10.710703
-105.289198,8,10.727638
-50.180518,8,10.741522
-10.296722,8,10.757721
-81.037916,8,10.773482
-110.393966,8,10.792068
-92.29453,8,10.812067
-85.082763,8,10.830153
-54.269457,8,10.847856
-82.818766,8,10.866112
-53.108297,8,10.878709
-220.312097,8,10.893377
-63.203856,8,10.908124
-157.918074,8,10.930406
-30.294875,8,10.953257
-23.102413,8,10.967149
-170.921776,8,10.985767
-85.937483,8,10.999456
-158.120438,8,11.012672
-62.72578,8,11.036669
-29.422063,8,11.054465
-75.094945,8,11.071571
-207.730534,8,11.087235
-159.00144,8,11.106784
-206.731592,8,11.126241
-96.424183,8,11.139762
-106.281774,8,11.147797
-115.581901,8,11.181562
-157.714775,8,11.199375
-79.724687,8,11.213035
-10.527398,8,11.229127
-195.554751,8,11.245227
-15.512138,8,11.259001
-141.286975,8,11.274896
-48.64362,8,11.298506
-104.458451,8,11.310706
-73.095598,8,11.326152
-53.940358,8,11.33816
-116.983161,8,11.351401
-23.923286,8,11.365162
-44.951945,8,11.373175
-60.140543,8,11.388939
-68.295011,8,11.398695
-156.487638,8,11.413581
-43.582452,8,11.435859
-74.476806,8,11.449271
-46.3726,8,11.466641
-46.960441,8,11.477793
-115.331591,8,11.497075
-35.40391,8,11.506097
-46.878162,8,11.522189
-112.704791,8,11.539413
-92.252632,8,11.552568
-91.466395,8,11.568281
-42.650448,8,11.585447
-108.93308,8,11.598176
-42.439633,8,11.622216
-82.704528,8,11.634996
-114.496045,8,11.649566
-140.846006,8,11.662632
-48.809558,8,11.675451
-92.699996,8,11.696919
-149.154703,8,11.7096
-25.534517,8,11.729601
-77.410603,8,11.745013
-19.083641,8,11.755575
-46.679793,8,11.769628
-105.351035,8,11.781411
-39.010453,8,11.801309
-12.480702,8,11.820369
-70.561952,8,11.835066
-61.051452,8,11.850088
-50.705899,8,11.85196
-60.124271,8,11.86868
-54.139056,8,11.881672
-32.664504,8,11.897379
-236.121108,8,11.913554
-10.81431,8,11.913554
-130.328335,8,11.951841
-14.987443,8,11.969238
-24.243496,8,11.98281
-70.417814,8,11.998075
-30.83683,8,12.017926
-21.231887,8,12.031921
-87.125759,8,12.053283
-37.483652,8,12.069661
-63.874593,8,12.076777
-35.471047,8,12.096383
-7.591943,8,12.118541
-29.154026,8,12.136022
-99.286104,8,12.149023
-40.48965,8,12.150006
-16.157387,8,12.16836
-16.813357,8,12.198383
-48.186384,8,12.220071
-84.838108,8,12.232258
-42.556968,8,12.250342
-191.532117,8,12.262502
-55.217601,8,12.27476
-14.292188,8,12.300495
-45.451056,8,12.308098
-62.900753,8,12.330271
-42.304238,8,12.343683
-103.562913,8,12.355933
-129.400892,8,12.373199
-23.323433,8,12.387345
-151.891372,8,12.411625
-25.708857,8,12.426079
-30.592139,8,12.441952
-143.016079,8,12.455692
-22.534454,8,12.464694
-80.334969,8,12.466691
-45.341212,8,12.486513
-122.741368,8,12.502274
-22.268928,8,12.514245
-35.16844,8,12.531849
-23.518442,8,12.545907
-68.361293,8,12.567698
-99.794696,8,12.585918
-89.124606,8,12.61089
-121.446122,8,12.616902
-103.097475,8,12.645144
-135.652766,8,12.656687
-27.20589,8,12.672483
-148.973614,8,12.70053
-91.522283,8,12.716109
-61.511406,8,12.73938
-39.890751,8,12.751967
-159.758195,8,12.769305
