#{"t_start": 1779522850.6272454, "env_id": "None"}
r,l,t
-75.077788,8,9.955174
-53.03154,8,9.959794
-3.202703,8,9.971231
-62.101191,8,9.978265
-110.706396,8,9.978265
-33.208597,8,9.994256
-126.052719,8,10.001342
-186.451578,8,10.008222
-161.887628,8,10.01914
-56.782476,8,10.024622
-75.379537,8,10.024622
-91.592727,8,10.024622
-180.75709,8,10.040111
-219.983247,8,10.219853
-187.113016,8,10.225861
-125.22571,8,10.229606
-67.766446,8,10.229606
-56.588866,8,10.245547
-5.102785,8,10.251556
-133.181044,8,10.25556
-58.83681,8,10.266659
-115.156476,8,10.274022
-106.068148,8,10.279924
-28.483935,8,10.289958
-99.159093,8,10.293151
-36.523797,8,10.293151
-63.870516,8,10.308828
-57.029001,8,10.308828
-36.499845,8,10.32488
-60.295936,8,10.32488
-117.946064,8,10.32488
-75.536886,8,10.340704
-173.514945,8,10.340704
-23.786011,8,10.35844
-21.101006,8,10.35844
-27.037973,8,10.372086
-36.064597,8,10.372086
-70.406184,8,10.389968
-84.518215,8,10.407277
-98.837191,8,10.42028
-43.970431,8,10.430291
-139.232687,8,10.443284
-17.730712,8,10.452282
-49.620767,8,10.454284
-158.747735,8,10.470138
-41.777161,8,10.678774
-113.834121,8,10.684772
-57.041111,8,10.69206
-107.791897,8,10.69206
-9.873847,8,10.69206
-83.897515,8,10.709487
-167.528482,8,10.709487
-2.23904,8,10.725238
-110.177244,8,10.725238
-52.821953,8,10.744084
-238.621009,8,10.761868
-53.943789,8,10.769881
-87.05182,8,10.777881
-149.181758,8,10.791649
-156.291643,8,10.797197
-33.721125,8,10.802945
-27.916945,8,10.809702
-114.606604,8,10.817724
-32.18871,8,10.825485
-61.799416,8,10.82949
-24.117574,8,10.835497
-185.548964,8,10.847354
-57.472007,8,10.853368
-29.262039,8,10.861355
-36.21752,8,10.861355
-26.251133,8,10.876286
-110.290346,8,10.885208
-38.472226,8,10.890724
-39.940658,8,10.890724
-56.344113,8,10.901172
-79.457183,8,10.901172
-19.307662,8,10.901172
-66.195799,8,11.110863
-19.648153,8,11.114841
-127.134168,8,11.124805
-209.099316,8,11.13259
-67.426303,8,11.138679
-91.566707,8,11.145555
-153.673129,8,11.145555
-79.97202,8,11.161166
-111.306603,8,11.161166
-142.284614,8,11.179786
-101.660044,8,11.180788
-46.571405,8,11.192006
-57.589082,8,11.192006
-49.569303,8,11.207034
-54.371311,8,11.213195
-299.058246,8,11.213195
-101.623394,8,11.228231
-25.217826,8,11.230523
-129.470399,8,11.249646
-211.528761,8,11.260319
-199.623203,8,11.269004
-119.283151,8,11.281332
-104.597477,8,11.289321
-4.119049,8,11.299267
-68.77763,8,11.31533
-24.645842,8,11.33033
-67.423201,8,11.342312
-45.022912,8,11.349765
-71.329543,8,11.360074
-79.043904,8,11.373219
-88.054064,8,11.391086
-113.795144,8,11.410155
-26.677535,8,11.6364
-96.430792,8,11.645012
-32.235616,8,11.654585
-78.315602,8,11.662394
-253.071021,8,11.669519
-150.375427,8,11.676526
-90.165725,8,11.684518
-139.231923,8,11.691519
-79.99771,8,11.699521
-109.035932,8,11.706523
-23.345615,8,11.717912
-149.961319,8,11.729892
-131.84158,8,11.737892
-139.239054,8,11.746548
-127.139043,8,11.755755
-46.273259,8,11.76376
-117.14005,8,11.770762
-74.629608,8,11.779341
-23.155989,8,11.787341
-268.650718,8,11.795112
-62.164789,8,11.802229
-40.752199,8,11.811765
-157.079043,8,11.818766
-122.252043,8,11.829845
-41.737529,8,11.837753
-63.559908,8,11.848886
-43.250955,8,11.854886
-127.831419,8,11.861967
-24.424738,8,11.866972
-76.981888,8,11.873962
-46.331216,8,11.884183
-132.09463,8,11.88978
-48.221053,8,12.101146
-87.037097,8,12.109614
-216.050679,8,12.116653
-27.929537,8,12.122885
-45.20313,8,12.13537
-163.689708,8,12.143079
-200.000844,8,12.150345
-72.671146,8,12.159913
-64.616813,8,12.167481
-33.704246,8,12.175923
-53.237732,8,12.183156
-104.902513,8,12.191364
-98.330883,8,12.198362
-17.45864,8,12.205377
-28.903246,8,12.212364
-162.295842,8,12.221507
-75.929929,8,12.22951
-48.382629,8,12.247572
-41.685469,8,12.254573
-191.498521,8,12.264596
-62.316205,8,12.270592
-101.120666,8,12.27779
-22.910674,8,12.283789
-151.75716,8,12.291039
-37.423069,8,12.29706
-108.130815,8,12.303059
-35.258849,8,12.311061
-22.477519,8,12.31707
-41.272985,8,12.323763
-39.1073,8,12.334738
-92.124741,8,12.341743
-33.027094,8,12.348774
-92.269569,8,12.518661
-127.674536,8,12.526325
-22.330451,8,12.531634
-29.974906,8,12.536858
-136.484808,8,12.54365
1.330931,8,12.549955
-39.332213,8,12.55716
-58.802848,8,12.565268
-40.467414,8,12.571267
-93.825838,8,12.580275
-115.688823,8,12.595263
-115.350157,8,12.602882
-110.858564,8,12.610688
-109.612798,8,12.617715
-83.701442,8,12.624608
-68.368251,8,12.631988
-154.505835,8,12.638249
-114.354541,8,12.64542
-76.913548,8,12.652083
-62.29386,8,12.659083
-161.251532,8,12.666431
-14.129325,8,12.673597
-116.886868,8,12.682806
-53.335581,8,12.691852
-75.421148,8,12.697899
-60.03895,8,12.708568
-197.082577,8,12.715028
-36.120586,8,12.720375
-67.378112,8,12.726092
-69.975722,8,12.732542
-104.45054,8,12.737115
-153.802162,8,12.747768
-8.618843,8,12.915574
-146.471009,8,12.927461
-86.922536,8,12.933461
-59.231644,8,12.945285
-54.612274,8,12.952285
-40.222816,8,12.958899
-56.1506,8,12.9659
-116.009174,8,12.974452
-123.624012,8,12.981452
-129.497885,8,12.98912
-86.380751,8,12.999123
-39.82494,8,13.00732
-130.611467,8,13.013355
