#{"t_start": 1779523575.4009054, "env_id": "None"}
r,l,t
-49.707567,8,2.129447
-42.532389,8,2.141968
-70.265791,8,2.150812
-71.307747,8,2.160471
-23.008869,8,2.171495
-218.303464,8,2.18565
-81.824028,8,2.196031
-141.35035,8,2.206275
-54.59117,8,2.220846
-147.972502,8,2.237018
-63.05546,8,2.245535
-32.205876,8,2.255598
-54.957348,8,2.264839
-63.744636,8,2.276913
-144.501122,8,2.285811
-87.973938,8,2.294878
-44.208578,8,2.304092
-9.94958,8,2.320061
-43.960357,8,2.329417
-36.350883,8,2.339962
-67.098604,8,2.355839
-82.28553,8,2.370452
-103.478214,8,2.379365
-87.377173,8,2.389703
-78.53558,8,2.402298
-49.418437,8,2.415794
-119.563079,8,2.426087
-92.138742,8,2.439061
-104.530566,8,2.44898
-51.78791,8,2.461637
-100.448477,8,2.475793
-77.442622,8,2.485854
-144.944161,8,2.498162
-94.095728,8,2.519873
-23.862837,8,2.532525
-52.199802,8,2.544043
-94.329547,8,2.548252
-10.432345,8,2.569369
-86.569589,8,2.583833
-59.363422,8,2.590884
-27.372945,8,2.605881
-62.149042,8,2.617769
-134.478008,8,2.626917
-72.049071,8,2.636935
-85.707762,8,2.645797
-159.738629,8,2.663853
-78.292508,8,2.672367
-82.59496,8,2.681356
-65.657186,8,2.690008
-113.383797,8,2.705692
-137.902303,8,2.715743
-63.923113,8,2.72388
-100.353537,8,2.732399
-31.048458,8,2.743913
-43.820102,8,2.752344
-161.629234,8,2.761492
-139.943636,8,2.769363
-61.366501,8,2.779365
-118.816574,8,2.79373
-187.23609,8,2.804194
-129.55832,8,2.817834
-54.270786,8,2.831509
-162.061993,8,2.840862
-70.335049,8,2.851216
-156.741621,8,2.859832
-30.986138,8,2.873689
-140.765255,8,2.883356
-92.515596,8,2.891909
-30.51437,8,2.903157
-119.408227,8,2.915755
-77.243361,8,2.937105
-35.226846,8,2.945963
-43.669712,8,2.955831
-28.290085,8,2.972515
-41.424138,8,2.981467
-106.35861,8,2.992101
-153.961615,8,3.003223
-44.731038,8,3.015738
-136.013091,8,3.023796
-60.801674,8,3.033561
-22.362807,8,3.043085
-19.358571,8,3.067442
-108.690321,8,3.079431
-162.870733,8,3.101268
-126.157917,8,3.115426
-35.552982,8,3.133693
-253.51893,8,3.146619
-50.095312,8,3.168419
-172.102155,8,3.183499
-84.739404,8,3.197166
-51.210118,8,3.206684
-129.088632,8,3.217796
-72.969374,8,3.225435
-68.700242,8,3.239137
-115.080491,8,3.248163
-53.468324,8,3.263916
-127.947504,8,3.273435
-187.274351,8,3.29829
-202.978664,8,3.308805
-73.039327,8,3.315636
-15.292585,8,3.325721
-97.062365,8,3.340025
-21.782349,8,3.350353
-101.759406,8,3.35742
-94.456137,8,3.369417
-142.243025,8,3.381819
-191.28401,8,3.391522
-144.288731,8,3.404661
-135.928947,8,3.420069
-33.876026,8,3.432316
-136.762096,8,3.440826
-59.790218,8,3.45222
-80.999758,8,3.459873
-217.735879,8,3.472386
-130.921219,8,3.479997
-294.932579,8,3.485399
-123.493015,8,3.498237
-77.651144,8,3.509758
-36.836789,8,3.517859
-110.203077,8,3.531502
-180.216755,8,3.546708
-148.042288,8,3.557844
-73.590124,8,3.569542
-279.936165,8,3.578115
-47.553787,8,3.585693
-140.980727,8,3.600262
-55.420976,8,3.607829
-102.965405,8,3.615542
-121.263745,8,3.625647
-49.962077,8,3.640171
-143.00845,8,3.647778
-91.474319,8,3.655827
-52.96964,8,3.665508
-221.045934,8,3.681925
-59.565147,8,3.691596
-35.646459,8,3.701208
-38.188994,8,3.707748
-54.413992,8,3.720669
-101.685622,8,3.729472
-37.282724,8,3.738106
-41.039344,8,3.746105
-102.719868,8,3.75964
-71.359211,8,3.770372
-56.926986,8,3.776886
-74.846895,8,3.78556
-25.860309,8,3.804237
-166.391168,8,3.812765
-122.426532,8,3.820855
-244.208422,8,3.831601
-32.193261,8,3.842108
-55.782266,8,3.848579
-129.101048,8,3.855715
-45.720727,8,3.872648
-33.695188,8,3.881664
-141.565085,8,3.89101
-127.220797,8,3.902294
-68.501239,8,3.909977
-90.897852,8,3.92286
-119.640401,8,3.937287
-41.909397,8,3.946102
-67.511813,8,3.956248
-148.309731,8,3.967658
-41.130793,8,3.976275
-47.763246,8,3.987661
-118.048835,8,3.997206
-55.582565,8,4.007726
-186.977631,8,4.015809
-35.661643,8,4.025674
-83.810631,8,4.035526
-48.037015,8,4.048118
-86.876581,8,4.061563
-80.773105,8,4.071605
-72.29208,8,4.079356
-64.080592,8,4.090521
-124.519795,8,4.104471
-52.916402,8,4.112816
-89.771326,8,4.120581
-130.814571,8,4.135516
-134.524488,8,4.144132
-50.897592,8,4.156596
-82.798834,8,4.166495
-63.207121,8,4.177053
-49.337676,8,4.185495
-51.325814,8,4.202572
-64.613728,8,4.211302
-138.987394,8,4.225612
-38.735316,8,4.236734
-136.143596,8,4.244825
-102.372422,8,4.253118
-63.446942,8,4.265793
-91.863265,8,4.275572
-36.937696,8,4.285666
-78.21824,8,4.296149
-182.806283,8,4.310071
-68.167237,8,4.323668
-127.720835,8,4.337723
-105.232976,8,4.344732
-58.61303,8,4.356517
-97.913456,8,4.364857
-41.400596,8,4.373376
-67.437091,8,4.381827
-123.83915,8,4.39403
-99.381753,8,4.40323
-162.228332,8,4.410752
-127.321472,8,4.420881
-98.303065,8,4.437069
-169.684598,8,4.446122
-107.583588,8,4.457525
-55.494305,8,4.475779
-160.702493,8,4.491517
-34.28187,8,4.508081
-224.121071,8,4.519053
-64.073414,8,4.530584
-91.217039,8,4.548098
-143.163734,8,4.559598
-123.776854,8,4.572458
-92.277081,8,4.585665
-159.633105,8,4.598367
-44.317991,8,4.605426
-44.235186,8,4.620748
-68.806171,8,4.635723
-113.751989,8,4.650072
-68.487585,8,4.663102
-66.782658,8,4.673671
-138.982074,8,4.685783
-150.150061,8,4.698231
-67.968985,8,4.705878
-43.914944,8,4.721106
-59.278217,8,4.735692
-102.702047,8,4.752195
-36.66377,8,4.761534
-176.85966,8,4.776402
-123.362349,8,4.787428
-131.297215,8,4.805671
-101.91547,8,4.819671
-103.735623,8,4.830151
-52.491206,8,4.839759
-85.398736,8,4.853861
-70.883458,8,4.863023
-168.457665,8,4.871414
-56.971211,8,4.879827
-29.966751,8,4.896504
