agent,episode,num_nodes,num_services,episodes,seed,reward,placed_rate,failed_count,used_nodes,avg_cpu_util,avg_mem_util,max_cpu_util,max_mem_util,cpu_imbalance,mem_imbalance,hotspot_count,total_latency_cost,avg_latency_cost,failed_dependency_edges,effective_latency_cost,avg_effective_latency_cost
Random,0,5,8,50,999,-109.00982746150248,0.625,3,3,0.5709799999999999,0.5128887499999999,0.82075,0.9274,0.26844784521392606,0.2850365618653158,2,12.35181695370979,2.182299815143072,5,44.851816953709786,7.924349285107736
Random,1,5,8,50,999,-59.32890266140665,0.625,3,3,0.41233250000000005,0.37108625,0.80825,0.6569625,0.26266447866051473,0.1876510645786482,1,6.173111136256383,0.9630438590103559,8,54.17311113625638,8.451343390991633
Random,2,5,8,50,999,-43.568956380159406,0.75,2,4,0.33368,0.49850500000000003,0.6675,0.82255,0.24512890608820492,0.25381867575594197,1,13.382584706115267,1.9423199863737692,8,56.38258470611525,8.183248868812084
Random,3,5,8,50,999,-190.40064423162156,0.625,3,3,0.5771975,0.41630625000000004,0.9799249999999999,0.715575,0.3757738329434342,0.21632779626645302,2,13.910263478508735,2.5430097766926396,4,44.110263478508735,8.064033542688984
Random,4,5,8,50,999,-86.20522547822745,0.75,2,4,0.5970325,0.45943750000000005,0.927925,0.8126875,0.2516580948926539,0.25646589612461146,3,11.309720298643471,1.7293150303736196,5,45.20972029864347,6.912801268905729
Random,5,5,8,50,999,-53.771147515496246,0.625,3,3,0.331075,0.3458175,0.61115,0.4483125,0.14776736784554295,0.08974330532134417,0,5.693173115572132,0.9242164148656057,6,45.49317311557213,7.385255375904565
Random,6,5,8,50,999,-62.44277583086347,0.625,3,3,0.3845825,0.3850325,0.69195,0.7241,0.23161108938261135,0.2416463802749795,0,15.211735399799746,2.380553270704185,5,50.11173539979974,7.842212112644717
Random,7,5,8,50,999,-43.86060057726668,0.75,2,4,0.607025,0.548935,0.83745,0.8122750000000001,0.2446222894586673,0.2206851837743078,2,15.358418611854056,2.680352288281685,4,35.45841861185406,6.188205691423046
Random,8,5,8,50,999,-131.17382694462458,0.5,4,2,0.357815,0.41169874999999995,0.75425,0.9344375,0.25720925897020114,0.3576008876090075,1,5.5647202270048,0.9797042653177466,5,42.0647202270048,7.405760603345915
Random,9,5,8,50,999,-45.31559145920694,0.75,2,4,0.45465750000000005,0.42669625,0.83415,0.8163875,0.23455859070816398,0.2480142379229467,1,8.472901001169813,1.4312332772246303,5,41.272901001169814,6.97177381776517
Random,10,5,8,50,999,-58.12445610944634,0.75,2,3,0.48392749999999995,0.49010875,0.8343,0.860375,0.2238336888741282,0.3358132998687664,2,11.124385652769664,1.7971543865540656,4,41.924385652769665,6.772921753274583
Random,11,5,8,50,999,-59.776047846785026,0.625,3,4,0.4777475,0.46920875000000006,0.7689,0.8207125,0.20402188307875213,0.20054068312315082,1,12.393496859164388,2.125814212549638,6,48.793496859164385,8.369381965551353
Random,12,5,8,50,999,-84.9537840428831,0.75,2,4,0.43240749999999994,0.49172125000000005,0.9268,0.68805,0.3266512300604422,0.20222387306522444,1,6.248789507558351,1.0792382569185408,3,28.948789507558352,4.999790933947902
Random,13,5,8,50,999,-144.79383965506713,0.75,2,5,0.56137,0.49032875000000004,0.9857750000000001,0.7343875000000001,0.3110299790213156,0.1953434891255657,2,15.520286816021121,2.5953656882978464,4,40.82028681602112,6.8261349190670755
Random,14,5,8,50,999,-54.29045955175419,0.75,2,4,0.57022,0.5055237499999999,0.80415,0.8632312499999999,0.2293420389941626,0.25140935724928776,2,19.372097867500898,2.966630607580535,5,53.9720978675009,8.265252353369203
Random,15,5,8,50,999,-166.82337187134627,0.75,2,3,0.48085999999999995,0.40257125,0.9915999999999999,0.89268125,0.3319127530692365,0.27471547086258175,2,3.0047435913768825,0.4869924783430928,4,28.304743591376887,4.587478702005979
Random,16,5,8,50,999,-175.6042866463041,0.875,1,4,0.48368500000000003,0.58425625,0.7284999999999999,0.9686000000000001,0.19327888374056798,0.35556328757163613,2,11.197628972764772,1.808986909978154,2,29.19762897276477,4.716902903516119
Random,17,5,8,50,999,-146.6175130041298,0.625,3,3,0.3314325000000001,0.5048662500000001,0.612075,0.9530625,0.17756091025335505,0.35714018229016187,2,5.644596266445617,0.9937669483178905,6,53.34459626644561,9.391654272261553
