agent,num_nodes,num_services,episodes,seed,mean_reward,std_reward,max_reward,min_reward,placement_rate,failed_count,used_nodes,avg_cpu_util,avg_mem_util,max_cpu_util,max_mem_util,cpu_imbalance,mem_imbalance,hotspot_count,total_latency_cost,avg_latency_cost,failed_dependency_edges,effective_latency_cost,avg_effective_latency_cost
Random,5,8,50,999,-98.63038086031852,55.70033848591301,-17.935483537945146,-246.77834036909528,0.695,2.44,3.68,0.47196305000000005,0.46655595000000005,0.8163547499999999,0.8233483749999999,0.24600713020288997,0.24843766490297609,1.36,10.140602847151012,1.629862713783367,5.1,44.73660284715102,7.103058086622009
First-Fit,5,8,50,999,-117.15462622978656,57.853883488027144,-17.247622772964835,-258.86989133959395,0.9975,0.02,3.2,0.5478530500000001,0.52643345,0.9147409999999999,0.8757529999999999,0.30343783919754064,0.28892994531112975,2.22,14.52312416433835,2.317125486738986,0.04,14.78712416433835,2.3636043599784227
Least-Loaded,5,8,50,999,-51.97729290352085,53.81034527754684,7.905462941247985,-180.7775597579628,1.0,0.0,4.88,0.60983805,0.59718845,0.8555632500000001,0.814238625,0.17670501225805657,0.16053904091968701,1.72,24.65317968426786,3.944220691496609,0.0,24.65317968426786,3.944220691496609
Round-Robin,5,8,50,999,-81.78343826964542,65.70918372137882,6.454321536857086,-245.1873675176401,0.9975,0.02,4.86,0.6166380499999999,0.5955734500000001,0.8651932499999998,0.8573926249999999,0.19340892001841406,0.1918775906897206,2.04,32.38103161819618,5.153655137501637,0.04,32.645031618196185,5.200134010741074
PPO,5,8,50,999,-37.321008567529034,40.70946834960928,11.551110868085448,-132.75031408663233,0.9525,0.38,4.46,0.5287280500000001,0.52161595,0.77455775,0.7638167499999998,0.18381257072306834,0.18810734051802055,1.08,25.123155197464904,3.986767558003665,0.94,31.235155197464902,4.972742277122901
DQN,5,8,50,999,-15.149696179239703,32.65247452020075,9.201133821402138,-124.54242440595466,0.995,0.04,4.76,0.5804980500000001,0.5734859499999999,0.7978655,0.760162,0.16967323986418603,0.14433063588051254,1.1,25.898394938744456,4.129405471267807,0.12,26.640394938744453,4.245462219325293
A2C,5,8,50,999,-36.19867590744491,47.421095040804964,9.693087991305594,-181.5211738958756,0.9675,0.26,4.66,0.5374980500000001,0.54382345,0.78848575,0.790408875,0.17972925439098514,0.18608660190309073,1.26,23.673152512930105,3.759046785915991,0.62,27.54915251293011,4.370123040944753
