agent,num_nodes,num_services,episodes,seed,mean_reward,std_reward,max_reward,min_reward,placement_rate,failed_count,used_nodes,avg_cpu_util,avg_mem_util,max_cpu_util,max_mem_util,cpu_imbalance,mem_imbalance,hotspot_count,total_latency_cost,avg_latency_cost,failed_dependency_edges,effective_latency_cost,avg_effective_latency_cost
Random,5,8,50,222,-87.20325574506639,45.96088798346112,3.3674595957292075,-231.26533586921101,0.73,2.16,3.74,0.48189334999999994,0.4710062749999999,0.7940889999999999,0.7951989999999999,0.2265379887155448,0.22253505070950275,1.18,17.29848490863508,2.7692051535468187,4.4,46.574484908635085,7.415761759568124
First-Fit,5,8,50,222,-152.3207106893367,71.96699300865127,-10.728798480328273,-305.5087866437939,0.9975,0.02,3.28,0.5514583500000001,0.550938775,0.9135089999999999,0.9107676250000002,0.2901719365984707,0.29142112176078594,2.38,26.079900588690972,4.158393774122321,0.02,26.213900588690976,4.180289198958922
Least-Loaded,5,8,50,222,-60.04866997478457,58.56753617421965,4.616353398848581,-226.89196493683679,0.995,0.04,4.82,0.60908835,0.600931275,0.830679,0.8213614999999999,0.15547288998771389,0.15986854327154504,1.72,36.06943804904474,5.747581869045905,0.04,36.36143804904474,5.793129988493286
Round-Robin,5,8,50,222,-89.41726196797566,67.80602045756119,-2.165987423276777,-293.07198025374106,0.9975,0.02,4.68,0.60513835,0.6035187750000001,0.874534,0.858991375,0.20731644552634154,0.19931621953237047,2.2,43.1873754547907,6.871566519689551,0.02,43.3213754547907,6.893461944526153
PPO,5,8,50,222,-38.92826038796992,45.08972149522209,6.111205625301407,-193.00768885141304,0.9575,0.34,4.34,0.5198533500000001,0.5197837750000001,0.7801157500000001,0.783672375,0.18911888756904843,0.19658129216623427,1.2,30.872940311018898,4.907550273083068,0.68,35.4809403110189,5.644671730568635
DQN,5,8,50,222,-34.053691504170025,49.126282672224,6.5174876739294145,-163.73524984562212,0.98,0.16,4.82,0.5877683499999999,0.5816962749999999,0.8185254999999999,0.7773400000000001,0.16236278164685125,0.14837540948869235,1.24,31.127048230473257,4.9425311191052055,0.4,33.64104823047325,5.348836004613637
A2C,5,8,50,222,-43.190058218005476,47.22875202250024,5.7270624565758155,-174.2873837400362,0.9575,0.34,4.58,0.5680383499999999,0.547773775,0.7899035000000001,0.7981794999999999,0.1742290128567534,0.1839196646573199,1.34,32.69283194358202,5.207332234378868,0.72,37.71083194358203,5.997998871066316
