agent,num_nodes,num_services,episodes,seed,mean_reward,std_reward,max_reward,min_reward,placement_rate,failed_count,used_nodes,avg_cpu_util,avg_mem_util,max_cpu_util,max_mem_util,cpu_imbalance,mem_imbalance,hotspot_count,total_latency_cost,avg_latency_cost,failed_dependency_edges,effective_latency_cost,avg_effective_latency_cost
Random,5,8,50,111,-105.75727624201582,59.504299036542264,-19.259344675247352,-261.2731884195029,0.7275,2.18,3.8,0.50373465,0.49479352500000007,0.832411,0.8255681249999998,0.24391452635524596,0.24595492069405406,1.54,16.705027266082308,2.6094073095365324,4.52,46.57902726608231,7.384510881931243
First-Fit,5,8,50,111,-127.32457532303344,60.691275234673434,-7.369661897461162,-290.53949546188517,0.99,0.08,3.4,0.56688465,0.546901025,0.9053979999999998,0.8909502499999999,0.27184934962821844,0.28003038832372634,2.3,24.151635115047753,3.7706597587490847,0.16,25.133635115047746,3.9398770377381735
Least-Loaded,5,8,50,111,-71.60690967438211,69.36839768765064,6.75509392938522,-250.79241397676543,0.9875,0.1,4.82,0.6265996500000001,0.6176060250000001,0.8535244999999999,0.83504075,0.16452997928922197,0.16169737687891594,1.8,35.17288230039626,5.549281225266492,0.2,36.426882300396265,5.7566992114958255
Round-Robin,5,8,50,111,-79.74292293453829,70.27466194580357,-2.727072500666242,-291.6810203391156,0.99,0.08,4.64,0.61215465,0.6026585250000001,0.8577785,0.856725125,0.1975402768332426,0.20747804083875698,2.18,42.02484245660415,6.622694671964837,0.18,43.17884245660414,6.8132899723319476
PPO,5,8,50,111,-51.64862142005667,62.81092410470755,6.889511044261281,-242.17811945988598,0.95,0.4,4.36,0.5428396499999999,0.5268110250000001,0.8040035,0.800660375,0.1933679199760453,0.2025320294237124,1.46,31.45059280983017,4.979878828317118,0.92,37.28659280983017,5.905884476810717
DQN,5,8,50,111,-47.44036830767639,63.86601258575701,5.297567301921637,-256.64653901434326,0.965,0.28,4.72,0.5895346499999999,0.570123525,0.8006349999999999,0.807160125,0.162740548425189,0.16765660839424895,1.42,31.806552909682573,5.021461025493288,0.56,35.52055290968258,5.602450691720773
A2C,5,8,50,111,-47.47422620419792,47.19518169349955,9.343557320483272,-176.9008033559613,0.9425,0.46,4.64,0.5629996500000001,0.555523525,0.77710075,0.8031264999999999,0.1682242619132546,0.18667649093122637,1.38,30.2420749908201,4.740074413373993,0.94,36.58607499082011,5.7549543354517905
