agent,num_nodes,num_services,episodes,seed,mean_reward,std_reward,max_reward,min_reward,placement_rate,failed_count,used_nodes,avg_cpu_util,avg_mem_util,max_cpu_util,max_mem_util,cpu_imbalance,mem_imbalance,hotspot_count,total_latency_cost,avg_latency_cost,failed_dependency_edges,effective_latency_cost,avg_effective_latency_cost
Random,5,5,50,999,-66.91444365700673,44.18637251552168,-1.8836608864542728,-180.69675314469373,0.76,1.2,2.82,0.38427305000000006,0.3937909499999999,0.733587,0.7661290000000001,0.22487173482755318,0.2434258969092144,0.78,10.566356533649296,2.8887496561783776,2.34,26.742356533649296,7.226337506616955
First-Fit,5,5,50,999,-80.0586447442835,54.347024805782794,-3.690092575553511,-228.44530062419764,1.0,0.0,3.0,0.4638980500000001,0.46350345,0.8688290000000001,0.8735673749999999,0.28658279537054665,0.2919916161319843,1.54,19.626021992776586,5.338510286442644,0.0,19.626021992776586,5.338510286442644
Least-Loaded,5,5,50,999,-25.545098956960842,29.189605024222153,6.078248562199992,-108.5574709210071,1.0,0.0,4.38,0.47440805,0.48435344999999996,0.7471545,0.773030375,0.1879897813645179,0.19125173494289996,0.86,22.886085554169927,6.227939146340171,0.0,22.886085554169927,6.227939146340171
Round-Robin,5,5,50,999,-36.44569535383132,38.4287337629065,4.688745963320889,-132.80496472046156,1.0,0.0,4.5,0.47218305,0.46872594999999995,0.7883247500000001,0.78395775,0.22272378903804696,0.2212111723474912,1.06,26.14384171533403,7.085871954432568,0.0,26.14384171533403,7.085871954432568
PPO,5,5,50,999,-0.5780175307892884,10.328309892073413,7.628009384859521,-50.76274960023606,1.0,0.0,3.9,0.38798805000000003,0.39525095,0.6168665,0.6432065,0.16478539465144684,0.17532280898054478,0.18,22.32373489634493,6.077884752076711,0.0,22.32373489634493,6.077884752076711
DQN,5,5,50,999,1.6576565469451117,4.8861870311598254,6.968800480339157,-27.292169277318024,1.0,0.0,3.86,0.39914305,0.4052384499999999,0.62138525,0.6330555,0.16800453805327492,0.16514140795110435,0.14,22.311763094513218,6.075901507522298,0.0,22.311763094513218,6.075901507522298
A2C,5,5,50,999,0.6577075257380253,7.611977393997234,6.968800480339157,-32.54711985765461,0.996,0.02,3.92,0.39309304999999994,0.39761595,0.63216675,0.62344875,0.17018284639322961,0.15855020890345844,0.22,22.045839571272854,5.9794886743805105,0.04,22.40983957127285,6.0689235638154
