agent,num_nodes,num_services,episodes,seed,mean_reward,std_reward,max_reward,min_reward,placement_rate,failed_count,used_nodes,avg_cpu_util,avg_mem_util,max_cpu_util,max_mem_util,cpu_imbalance,mem_imbalance,hotspot_count,total_latency_cost,avg_latency_cost,failed_dependency_edges,effective_latency_cost,avg_effective_latency_cost
Random,5,5,50,999,-66.73890979175216,44.229670878422255,-1.8289736518207629,-180.5516914310912,0.76,1.2,2.82,0.38427305000000006,0.3937909499999999,0.733587,0.7661290000000001,0.22487173482755318,0.2434258969092144,0.78,11.509402072015378,4.8179910736209886,1.78,29.30940207201538,7.327350518003845
First-Fit,5,5,50,999,-79.78726475736201,54.26411900304135,-3.488550865211672,-227.95185938327114,1.0,0.0,3.0,0.4638980500000001,0.46350345,0.8688290000000001,0.8735673749999999,0.28658279537054665,0.2919916161319843,1.54,21.742026478521986,5.435506619630496,0.0,21.742026478521986,5.435506619630496
Least-Loaded,5,5,50,999,-25.18956047705525,29.355530726303524,6.050066952368646,-108.86038087700796,1.0,0.0,4.38,0.47440805,0.48435344999999996,0.7471545,0.773030375,0.1879897813645179,0.19125173494289996,0.86,25.09281461844517,6.273203654611293,0.0,25.09281461844517,6.273203654611293
Round-Robin,5,5,50,999,-36.003933721935816,38.45186686625227,4.823955844680345,-132.13166232919238,1.0,0.0,4.5,0.47218305,0.46872594999999995,0.7883247500000001,0.78395775,0.22272378903804696,0.2212111723474912,1.06,28.42753251243089,7.1068831281077225,0.0,28.42753251243089,7.1068831281077225
PPO,5,5,50,999,-2.207923553252691,16.135637655850662,7.694954748779695,-88.49261162687006,0.996,0.02,3.96,0.39085305000000004,0.39806595,0.62236875,0.651351875,0.16793119060005146,0.17966793146441704,0.18,23.786767128181754,5.984584296940271,0.02,23.986767128181754,5.996691782045438
DQN,5,5,50,999,1.4405141129752772,7.413790363507857,8.057418113381171,-39.200105327862744,1.0,0.0,3.88,0.39665305000000006,0.4027209499999999,0.6296132499999999,0.636137625,0.1694212217476846,0.16685601057764607,0.14,22.26166228238559,5.5654155705963975,0.0,22.26166228238559,5.5654155705963975
A2C,5,5,50,999,-1.9839165719061698,11.97985508352731,8.057418113381171,-40.832147008372004,0.996,0.02,4.26,0.42357305000000006,0.43017345,0.646515,0.6724532500000001,0.15976339055841288,0.17016307180626342,0.32,24.634260537853248,6.205535092006303,0.02,24.834260537853247,6.208565134463312
