agent,num_nodes,num_services,episodes,seed,mean_reward,std_reward,max_reward,min_reward,placement_rate,failed_count,used_nodes,avg_cpu_util,avg_mem_util,max_cpu_util,max_mem_util,cpu_imbalance,mem_imbalance,hotspot_count,total_latency_cost,avg_latency_cost,failed_dependency_edges,effective_latency_cost,avg_effective_latency_cost
Random,5,8,50,999,-99.38864353810109,55.76387567296483,-19.14205813407421,-248.92211223042293,0.695,2.44,3.68,0.47196305000000005,0.46655595000000005,0.8163547499999999,0.8233483749999999,0.24600713020288997,0.24843766490297609,1.36,14.353173279276337,2.2856186563261516,5.1,48.94917327927633,7.758814029164795
First-Fit,5,8,50,999,-119.07334572539256,58.052699045379725,-17.867044950225523,-260.2890556403885,0.9975,0.02,3.2,0.5478530500000001,0.52643345,0.9147409999999999,0.8757529999999999,0.30343783919754064,0.28892994531112975,2.22,25.182676917705095,4.015061245113534,0.04,25.446676917705094,4.061540118352971
Least-Loaded,5,8,50,999,-54.05235793321194,53.68305405519474,7.196545354022185,-184.06238377514646,1.0,0.0,4.88,0.60983805,0.59718845,0.8555632500000001,0.814238625,0.17670501225805657,0.16053904091968701,1.72,36.18131873810719,5.748985734306228,0.0,36.18131873810719,5.748985734306228
Round-Robin,5,8,50,999,-83.90780688114083,65.74365078198839,2.9832934558155983,-248.2521031282116,0.9975,0.02,4.86,0.6166380499999999,0.5955734500000001,0.8651932499999998,0.8573926249999999,0.19340892001841406,0.1918775906897206,2.04,44.183079459837266,7.0269616470261544,0.04,44.44707945983726,7.073440520265591
PPO,5,8,50,999,-38.79662420021131,40.27567958107305,8.913136971265317,-132.5654397161888,0.9525,0.38,4.46,0.5287280500000001,0.52161595,0.77455775,0.7638167499999998,0.18381257072306834,0.18810734051802055,1.08,33.321019823477556,5.277768995145989,0.94,39.43301982347756,6.263743714265223
DQN,5,8,50,999,-16.922676217649126,32.63484741844986,8.136366103676739,-125.980131945797,0.995,0.04,4.76,0.5804980500000001,0.5734859499999999,0.7978655,0.760162,0.16967323986418603,0.14433063588051254,1.1,35.74828404101904,5.680559796771911,0.12,36.49028404101904,5.796616544829398
A2C,5,8,50,999,-38.41816575574848,47.451076520695864,6.624153273164437,-184.41605338119396,0.9675,0.26,4.66,0.5374980500000001,0.54382345,0.78848575,0.790408875,0.17972925439098514,0.18608660190309073,1.26,36.00365167017219,5.718562438053841,0.62,39.87965167017219,6.329638693082603
