agent,num_nodes,num_services,episodes,seed,mean_reward,std_reward,max_reward,min_reward,placement_rate,failed_count,used_nodes,avg_cpu_util,avg_mem_util,max_cpu_util,max_mem_util,cpu_imbalance,mem_imbalance,hotspot_count,total_latency_cost,avg_latency_cost,failed_dependency_edges,effective_latency_cost,avg_effective_latency_cost
Random,5,8,50,444,-108.70868056604557,79.20365066027608,-20.372933149053942,-416.6414436058225,0.75,2.0,3.92,0.4899774,0.4878702749999999,0.7912842499999999,0.831871625,0.22556812569190168,0.2483411600011197,1.42,18.163825476816363,2.869122714007417,4.3,46.931825476816364,7.3456941268681
First-Fit,5,8,50,444,-125.87177975433855,61.53383893782665,-21.302673389260825,-335.6035247483295,0.9975,0.02,3.26,0.5407724000000002,0.538652775,0.8924889999999999,0.8975182500000001,0.2870981070711529,0.3037731503546036,2.38,25.559419942011758,3.9933366348142556,0.04,25.77341994201176,4.02210007567447
Least-Loaded,5,8,50,444,-58.89939870523534,57.01384514894065,6.559593519924579,-228.52368781766057,0.995,0.04,4.86,0.6177074,0.5923927750000001,0.8624769999999999,0.826774,0.18022856049941885,0.1736658497151938,1.86,37.35230234126442,5.831348772843003,0.06,37.762302341264416,5.88710945888228
Round-Robin,5,8,50,444,-77.18662909013285,57.81362304415972,3.583696623071085,-192.40630002645764,0.9975,0.02,4.74,0.6174924,0.590357775,0.8678507500000001,0.8350878749999999,0.19453727400744353,0.18897386255578785,2.02,44.743124102162426,7.015522303688699,0.04,44.95712410216243,7.044285744548913
PPO,5,8,50,444,-35.093762288241045,39.225087513936636,7.59182948541955,-154.04266131200743,0.975,0.2,4.46,0.5284924,0.520780275,0.7705137499999999,0.7723028749999998,0.19310689477548645,0.1945418975667179,1.14,35.40594413986895,5.538247456107709,0.34,37.84394413986895,5.913797295051859
DQN,5,8,50,444,-24.674552406643187,43.47741221572059,6.869642411727228,-216.1644008821599,0.985,0.12,4.88,0.5846123999999999,0.567025275,0.7875530000000001,0.7624341250000002,0.1510376193284797,0.14593646588546402,1.08,34.8809246834016,5.458222273978051,0.28,36.7649246834016,5.7479420343291565
A2C,5,8,50,444,-41.078210553640965,45.062005494654755,5.560211102562472,-212.63541220232034,0.9625,0.3,4.74,0.5606523999999999,0.5498927749999999,0.7793222499999999,0.7961213749999999,0.166555833257347,0.17920147302236267,1.34,33.870857542022875,5.293309061146792,0.7,38.410857542022875,5.9932118745581695
