agent,num_nodes,num_services,episodes,seed,mean_reward,std_reward,max_reward,min_reward,placement_rate,failed_count,used_nodes,avg_cpu_util,avg_mem_util,max_cpu_util,max_mem_util,cpu_imbalance,mem_imbalance,hotspot_count,total_latency_cost,avg_latency_cost,failed_dependency_edges,effective_latency_cost,avg_effective_latency_cost
Random,5,8,50,999,-98.98467259960836,55.74054921053213,-17.899790770652302,-247.04909618710047,0.695,2.44,3.68,0.47196305000000005,0.46655595000000005,0.8163547499999999,0.8233483749999999,0.24600713020288997,0.24843766490297609,1.36,12.108890287650022,1.9386700098715568,5.1,46.704890287650024,7.411865382710197
First-Fit,5,8,50,999,-117.65250400171361,57.996217988718946,-17.621688154609608,-258.70904732822856,0.9975,0.02,3.2,0.5478530500000001,0.52643345,0.9147409999999999,0.8757529999999999,0.30343783919754064,0.28892994531112975,2.22,17.28911178615531,2.757680729100632,0.04,17.55311178615531,2.804159602340069
Least-Loaded,5,8,50,999,-53.00209942626125,53.64395645143597,9.205681920598526,-182.32087469646976,1.0,0.0,4.88,0.60983805,0.59718845,0.8555632500000001,0.814238625,0.17670501225805657,0.16053904091968701,1.72,30.346549255047822,4.825115787794186,0.0,30.346549255047822,4.825115787794186
Round-Robin,5,8,50,999,-82.48166060357315,65.72291235213902,5.2787693516008005,-245.6405839272382,0.9975,0.02,4.86,0.6166380499999999,0.5955734500000001,0.8651932499999998,0.8573926249999999,0.19340892001841406,0.1918775906897206,2.04,36.260044584461326,5.762992651425436,0.04,36.52404458446133,5.809471524664873
PPO,5,8,50,999,-37.87436908864802,40.34233871582293,10.519864369341914,-132.69934359396697,0.9525,0.38,4.46,0.5287280500000001,0.52161595,0.77455775,0.7638167499999998,0.18381257072306834,0.18810734051802055,1.08,28.197380314792568,4.479229829300341,0.94,34.30938031479256,5.465204548419577
DQN,5,8,50,999,-16.137327236034395,32.54472252658454,8.459472785239782,-124.59452562641404,0.995,0.04,4.76,0.5804980500000001,0.5734859499999999,0.7978655,0.760162,0.16967323986418603,0.14433063588051254,1.1,31.385234143159416,4.981533264552002,0.12,32.12723414315941,5.097590012609488
A2C,5,8,50,999,-37.143733058585774,47.593564636132456,8.56966001986197,-182.62925198285194,0.9675,0.26,4.66,0.5374980500000001,0.54382345,0.78848575,0.790408875,0.17972925439098514,0.18608660190309073,1.26,28.92347001926828,4.5998310003155725,0.62,32.799470019268284,5.210907255344336
