agent,episode,num_nodes,num_services,episodes,seed,reward,placed_rate,failed_count,used_nodes,avg_cpu_util,avg_mem_util,max_cpu_util,max_mem_util,cpu_imbalance,mem_imbalance,hotspot_count,total_latency_cost,avg_latency_cost,failed_dependency_edges,effective_latency_cost,avg_effective_latency_cost
Random,0,5,5,50,999,-53.38853613390157,0.6,2,2,0.38448000000000004,0.41313875,0.86575,0.75195,0.2839914357863631,0.2671207072186655,1,1.4572888690596681,0.453984071358152,4,25.65728886905967,7.992924881326999
Random,1,5,5,50,999,-62.71963790912155,0.8,1,4,0.4565825,0.41708625,0.9358,0.65305,0.27958826128791603,0.17526056362599088,1,4.863268597395524,1.5637519605773387,1,13.363268597395525,4.296870931638432
Random,2,5,5,50,999,-36.31926584407353,0.6,2,3,0.23118,0.29650499999999996,0.5675,0.498125,0.1783835210999043,0.17075055684389434,0,5.2061816745231555,1.2336923399343969,5,38.80618167452316,9.19577764799127
Random,3,5,5,50,999,-43.02591053582018,0.6,2,2,0.24069749999999995,0.33980625000000003,0.525575,0.7655749999999999,0.16909809586450109,0.25730348654361446,0,13.88165101207607,3.4191258650433665,4,32.68165101207607,8.049667736964548
Random,4,5,5,50,999,-127.3030971391627,1.0,0,3,0.49728249999999996,0.5086875,0.8979249999999999,0.9963500000000001,0.221112865353873,0.35544587263745236,2,10.70911057294346,3.3052810410319324,0,10.70911057294346,3.3052810410319324
Random,5,5,5,50,999,-138.7277027495391,0.6,2,2,0.443075,0.37681749999999997,0.9961499999999999,0.69555,0.3017495981770315,0.2166368524743655,1,1.4757355636047274,0.4302436045494832,3,27.775735563604723,8.097882088514496
Random,6,5,5,50,999,-98.8842646271677,0.8,1,3,0.3313325,0.4349075,0.5208625,0.97835,0.14690775753853164,0.29369643124321415,1,12.289312115029105,3.167348483254924,2,31.089312115029102,8.012709307997191
Random,7,5,5,50,999,-45.1098093813361,1.0,0,4,0.404775,0.52081,0.6666,0.939775,0.19988387753893508,0.23170984757342533,1,9.258450262434941,3.0059903449464094,0,9.258450262434941,3.0059903449464094
Random,8,5,5,50,999,-108.77389596034169,0.8,1,3,0.43481500000000006,0.37244875000000005,0.94615,0.9107000000000001,0.2968024475977245,0.29109672437825546,2,10.674776885985322,2.404229028375073,3,32.37477688598532,7.29161641576246
Random,9,5,5,50,999,-92.9819516946967,1.0,0,4,0.4854075,0.46919625,0.9595,0.9007499999999999,0.30718899308894515,0.26120981693362905,1,16.511290263293777,4.5236411680256925,0,16.511290263293777,4.5236411680256925
Random,10,5,5,50,999,-24.023117109671567,0.8,1,2,0.41942749999999995,0.35435875,0.6356499999999999,0.75795,0.12762412693139175,0.3158828865161106,0,8.934058841077062,2.4409996833543888,3,25.43405884107706,6.949196404665863
Random,11,5,5,50,999,-72.03665628096945,0.8,1,3,0.3924975,0.39883375,0.815525,0.93465,0.24391960002222046,0.3212944842158047,2,18.191251772480857,4.191532666470244,1,26.991251772480858,6.2191824360554975
Random,12,5,5,50,999,-1.3567410018028339,1.0,0,3,0.32765750000000005,0.43084625,0.7245250000000001,0.7225625,0.23098799449322038,0.23061550622735671,0,5.673906321820884,1.683651727543289,0,5.673906321820884,1.683651727543289
Random,13,5,5,50,999,-112.28836442796784,0.8,1,3,0.39312,0.52045375,0.77625,0.9856375,0.2486645136524309,0.33640341945163105,1,7.446376116633207,1.8569516500332188,3,29.346376116633206,7.3182982834496775
Random,14,5,5,50,999,-21.360746064667705,0.8,1,4,0.4194699999999999,0.49289875,0.639175,0.7807999999999999,0.1640075481494678,0.2659171109810348,0,15.970639559173133,3.923990063678903,2,34.17063955917313,8.395734535423376
Random,15,5,5,50,999,-103.63434704321526,1.0,0,2,0.32086,0.4123212499999999,0.750625,0.992575,0.24656485079994675,0.3519161484732549,1,1.5947501267061832,0.5095048328134771,0,1.5947501267061832,0.5095048328134771
Random,16,5,5,50,999,-29.242210630386474,1.0,0,3,0.422435,0.45488124999999996,0.804325,0.8952875,0.2859244032956963,0.25286554894597646,1,18.321554625211327,4.685819597240749,0,18.321554625211327,4.685819597240749
Random,17,5,5,50,999,-36.04544300238406,0.6,2,3,0.2281825,0.34799125000000003,0.33238749999999995,0.6164625,0.09027870374567856,0.21729390478393543,0,6.680422376661226,1.8818091201862608,3,33.88042237666122,9.543780951172176
Random,18,5,5,50,999,-38.32009033736223,0.6,2,3,0.3029675,0.3251925,0.64215,0.74655,0.20913108891315035,0.23754527957844165,0,6.733738491996547,1.6918940934664695,3,24.533738491996544,6.164255902511695
Random,19,5,5,50,999,-115.75744194573207,0.8,1,3,0.3344725,0.46179625,0.6632,0.991,0.2092914580196717,0.3160389530876692,1,18.352402406818698,5.901094021485112,1,25.852402406818698,8.312669584186077
Random,20,5,5,50,999,-120.1674778319682,1.0,0,3,0.52334,0.6035200000000001,0.9084,0.9462375000000001,0.2796252226641938,0.2786496508386472,2,8.093171240410477,2.352666058258859,0,8.093171240410477,2.352666058258859
Random,21,5,5,50,999,-18.878861061342487,0.8,1,3,0.4824275,0.4472825,0.6829000000000001,0.7974125000000001,0.15956581016934673,0.2224922462974834,0,9.685222407057925,2.1009159234398966,4,33.08522240705793,7.176837832333606
Random,22,5,5,50,999,-65.5565511799199,1.0,0,3,0.48788,0.5284375,0.897025,0.8849250000000001,0.331518535454656,0.25805420336626955,2,18.242661433873263,5.578795545526992,0,18.242661433873263,5.578795545526992
Random,23,5,5,50,999,-22.729852359572824,1.0,0,4,0.505785,0.5099775,0.8801,0.766725,0.27353275608233835,0.19054027172752744,1,22.929107384840798,5.971121714802291,0,22.929107384840798,5.971121714802291
Random,24,5,5,50,999,-94.7185571873242,0.8,1,2,0.35053750000000006,0.32929125000000004,0.9634750000000001,0.6560250000000001,0.3196105061242512,0.21931623057528143,1,8.864990987958741,2.238634087868369,2,25.664990987958742,6.481058330292611
Random,25,5,5,50,999,-58.18595336779878,0.6,2,2,0.32513500000000006,0.24034125000000003,0.8872500000000001,0.4892,0.2845221764643312,0.14735400569292306,1,3.551540012784299,1.0570059561858032,3,27.251540012784304,8.110577384757233
Random,26,5,5,50,999,-122.95099281126483,0.6,2,2,0.2864325,0.40451375,0.406225,0.9796875,0.08167314873935008,0.3704178945039643,1,2.7365585639335146,0.7752290549386728,4,34.63655856393351,9.812056250406094
Random,27,5,5,50,999,-19.375337001383095,0.8,1,2,0.3022975,0.33134125000000003,0.669375,0.464025,0.21202019278832857,0.14950915291797356,0,6.1304866782960055,1.6048394445801062,2,22.230486678296003,5.8194991304439805
Random,28,5,5,50,999,-35.573045352901865,0.6,2,2,0.2889125,0.29799125,0.5221,0.531175,0.15268199058828125,0.14100161566006963,0,0.0,0.0,3,24.5,7.492354740061162
Random,29,5,5,50,999,-54.664269833798166,0.4,3,2,0.2281825,0.239365,0.36053749999999996,0.5273,0.09028151305776835,0.14671070479007317,0,0.0,0.0,6,39.2,10.000000000000002
Random,30,5,5,50,999,-118.51578949343276,0.4,3,2,0.2996175,0.35814625,0.5136,0.953425,0.1363047664243624,0.32004021704310853,1,1.6735032193830317,0.471409357572685,4,28.67350321938303,8.077043160389586
Random,31,5,5,50,999,-22.540189054601928,0.8,1,4,0.41737,0.41074874999999994,0.7523500000000001,0.7998375,0.2739210723000332,0.22970453706881802,0,13.017956300129397,3.43481696573335,2,26.917956300129397,7.1023631398758305
Random,32,5,5,50,999,-113.86671373536144,0.6,2,3,0.41554,0.24276124999999998,0.9747,0.389975,0.31538497372259194,0.09356714220280536,1,1.6900571890075582,0.43334799718142514,5,30.990057189007555,7.946168510001937
Random,33,5,5,50,999,-125.52584413742431,0.8,1,4,0.532915,0.51083875,0.9917,0.810775,0.32835477292099774,0.2339264878653121,2,11.284003497941121,2.6426237700096302,2,23.584003497941122,5.52318583089956
Random,34,5,5,50,999,-19.826484855350856,0.8,1,2,0.389915,0.38120875,0.631875,0.55059375,0.17578068693687596,0.14323398468502507,0,7.825533597505769,2.745801262282726,2,21.52553359750577,7.552818806142375
Random,35,5,5,50,999,-181.0794803590374,0.4,3,2,0.4231825000000001,0.38444874999999995,0.88195,0.99945,0.2822599663430859,0.35156919390071706,1,8.688577917262622,1.848633599417579,6,46.18857791726262,9.827357003672898
Random,36,5,5,50,999,-32.33097158724208,0.8,1,3,0.512285,0.373905,0.714,0.868525,0.17729179027806108,0.30063447621239314,1,5.72241833574306,1.5677858454090576,2,14.822418335743059,4.060936530340564
Random,37,5,5,50,999,-45.27718938197626,1.0,0,3,0.5268275,0.5360625,0.7988,0.9160625,0.24806310694055253,0.3544759049463024,1,9.811951364643377,2.7030169048604344,0,9.811951364643377,2.7030169048604344
Random,38,5,5,50,999,-21.294496034475934,0.8,1,3,0.3924875,0.42599875000000004,0.75405,0.7299125,0.2671592235914755,0.2445164864840406,0,3.018741554513017,0.7256590275271676,3,24.918741554513016,5.990082104450244
Random,39,5,5,50,999,-31.883608661187147,0.8,1,2,0.29173499999999997,0.34196125000000005,0.79395,0.8408375,0.2694167290648449,0.29512640703815374,1,3.2645468804380933,1.0201709001369041,2,19.664546880438095,6.145170900136905
Random,40,5,5,50,999,-36.94752440874916,0.6,2,2,0.2649375,0.24157625,0.5659125,0.49308125,0.16322408906163333,0.12854904489629632,0,1.5356853071985468,0.4265792519995964,4,29.735685307198548,8.25991258533293
Random,41,5,5,50,999,-40.47628659480657,0.6,2,2,0.3362975,0.26788500000000004,0.8102750000000001,0.4935875,0.2620481005941467,0.12380580191372294,1,6.519448343488667,2.076257434232059,4,29.819448343488666,9.496639599837152
Random,42,5,5,50,999,-33.48734379496281,0.6,2,3,0.296845,0.2534975,0.4627,0.4577375,0.1323113207552551,0.11137477508394798,0,3.036926381759396,0.778699072245999,4,31.2369263817594,8.00946830301523
Random,43,5,5,50,999,-39.25709605937765,0.6,2,2,0.2897475,0.20489375,0.491625,0.3449625,0.1701781721461363,0.11790416473772246,0,7.726753592282864,2.1285822568272357,4,34.426753592282864,9.483954157653683
Random,44,5,5,50,999,-103.72338786129468,0.8,1,4,0.4043075,0.4095762499999999,0.86845,0.9679249999999999,0.27274219026399277,0.3036866445861589,1,5.489714647934858,1.7101914791074326,3,22.58971464793486,7.037294282845751
Random,45,5,5,50,999,-162.54983828353983,0.6,2,3,0.509935,0.38455500000000004,0.9718,0.9371750000000001,0.29379613493032886,0.2853517424381706,2,8.41420177250696,2.343788794570184,4,35.11420177250696,9.781114699862663
