agent,num_nodes,num_services,episodes,seed,mean_reward,std_reward,max_reward,min_reward,placement_rate,failed_count,used_nodes,avg_cpu_util,avg_mem_util,max_cpu_util,max_mem_util,cpu_imbalance,mem_imbalance,hotspot_count,total_latency_cost,avg_latency_cost,failed_dependency_edges,effective_latency_cost,avg_effective_latency_cost
Random,5,5,50,999,-66.5388907824071,44.118794971165116,-1.3567410018028339,-181.0794803590374,0.76,1.2,2.82,0.38427305000000006,0.3937909499999999,0.733587,0.7661290000000001,0.22487173482755318,0.2434258969092144,0.78,8.479951674762571,2.2879340230605894,2.34,24.655951674762573,6.6255218734991645
First-Fit,5,5,50,999,-78.79319340525302,54.252094025914126,-2.812624746071241,-227.11932308866514,1.0,0.0,3.0,0.4638980500000001,0.46350345,0.8688290000000001,0.8735673749999999,0.28658279537054665,0.2919916161319843,1.54,12.595736775940624,3.4456959654354464,0.0,12.595736775940624,3.4456959654354464
Least-Loaded,5,5,50,999,-25.00604912093601,29.45886915326449,6.546811656102009,-107.82464504799265,1.0,0.0,4.38,0.47440805,0.48435344999999996,0.7471545,0.773030375,0.1879897813645179,0.19125173494289996,0.86,19.891171314708536,5.388816520587103,0.0,19.891171314708536,5.388816520587103
Round-Robin,5,5,50,999,-35.592285506506784,38.474929883381776,5.601381648381884,-132.81306696077334,1.0,0.0,4.5,0.47218305,0.46872594999999995,0.7883247500000001,0.78395775,0.22272378903804696,0.2212111723474912,1.06,21.4026758968644,5.80992636987267,0.0,21.4026758968644,5.80992636987267
PPO,5,5,50,999,-0.13486914727892518,10.200348069675089,7.568621141369784,-49.18460989446479,1.0,0.0,3.9,0.38798805000000003,0.39525095,0.6168665,0.6432065,0.16478539465144684,0.17532280898054478,0.18,19.861799432398467,5.37296008990981,0.0,19.861799432398467,5.37296008990981
DQN,5,5,50,999,2.063605010584292,4.8274003356135635,7.689248634601852,-26.364889475423553,1.0,0.0,3.86,0.39914305,0.4052384499999999,0.62138525,0.6330555,0.16800453805327492,0.16514140795110435,0.14,20.05649385207333,5.454242569728576,0.0,20.05649385207333,5.454242569728576
A2C,5,5,50,999,1.2673883465635172,7.5910951550453,7.267499140136723,-31.290852964699926,0.996,0.02,3.92,0.39309304999999994,0.39761595,0.63216675,0.62344875,0.17018284639322961,0.15855020890345844,0.22,18.658723900020124,5.044457033645299,0.04,19.022723900020125,5.1338919230801885
