agent,num_nodes,num_services,episodes,seed,mean_reward,std_reward,max_reward,min_reward,placement_rate,failed_count,used_nodes,avg_cpu_util,avg_mem_util,max_cpu_util,max_mem_util,cpu_imbalance,mem_imbalance,hotspot_count,total_latency_cost,avg_latency_cost,failed_dependency_edges,effective_latency_cost,avg_effective_latency_cost
Random,5,5,50,999,-66.59646874998354,44.05648580660808,-1.6451556105537948,-180.52447364042933,0.76,1.2,2.82,0.38427305000000006,0.3937909499999999,0.733587,0.7661290000000001,0.22487173482755318,0.2434258969092144,0.78,8.799829272409415,2.378489245846671,2.34,24.97582927240941,6.716077096285246
First-Fit,5,5,50,999,-79.0788858180775,54.31333808443467,-3.0288256708894536,-227.3841929631799,1.0,0.0,3.0,0.4638980500000001,0.46350345,0.8688290000000001,0.8735673749999999,0.28658279537054665,0.2919916161319843,1.54,14.182916847187656,3.868480030395931,0.0,14.182916847187656,3.868480030395931
Least-Loaded,5,5,50,999,-24.99808742255067,29.416656880494283,6.6082671297674445,-107.8883575361148,1.0,0.0,4.38,0.47440805,0.48435344999999996,0.7471545,0.773030375,0.1879897813645179,0.19125173494289996,0.86,19.84693965701224,5.381972958969337,0.0,19.84693965701224,5.381972958969337
Round-Robin,5,5,50,999,-34.69364908147175,38.444894281285244,5.8193501547411675,-132.3653263031571,1.0,0.0,4.5,0.47218305,0.46872594999999995,0.7883247500000001,0.78395775,0.22272378903804696,0.2212111723474912,1.06,16.410251313336474,4.451047520970677,0.0,16.410251313336474,4.451047520970677
PPO,5,5,50,999,-0.09281712030465053,10.10661628371517,7.63189772242493,-48.456401919157926,1.0,0.0,3.9,0.38798805000000003,0.39525095,0.6168665,0.6432065,0.16478539465144684,0.17532280898054478,0.18,19.628177060319164,5.308055677415229,0.0,19.628177060319164,5.308055677415229
DQN,5,5,50,999,2.2843598343972467,4.943179542922317,9.25734221809374,-26.66357003110361,1.0,0.0,3.86,0.39914305,0.4052384499999999,0.62138525,0.6330555,0.16800453805327492,0.16514140795110435,0.14,18.830078164223583,5.121237565436457,0.0,18.830078164223583,5.121237565436457
A2C,5,5,50,999,1.3682189732892338,7.541630864040583,7.523492576631273,-31.393941140669362,0.996,0.02,3.92,0.39309304999999994,0.39761595,0.63216675,0.62344875,0.17018284639322961,0.15855020890345844,0.22,18.09855375154392,4.878038207895651,0.04,18.46255375154392,4.967473097330541
