agent,num_nodes,num_services,episodes,seed,mean_reward,std_reward,max_reward,min_reward,placement_rate,failed_count,used_nodes,avg_cpu_util,avg_mem_util,max_cpu_util,max_mem_util,cpu_imbalance,mem_imbalance,hotspot_count,total_latency_cost,avg_latency_cost,failed_dependency_edges,effective_latency_cost,avg_effective_latency_cost
Random,5,5,50,999,-66.46112091232492,44.17949179027508,-1.9526272083953078,-180.32576013293976,0.76,1.2,2.82,0.38427305000000006,0.3937909499999999,0.733587,0.7661290000000001,0.22487173482755318,0.2434258969092144,0.78,8.047896840972577,2.1948613051145087,2.34,24.223896840972575,6.532449155553085
First-Fit,5,5,50,999,-78.98372211780264,54.33253773577695,-3.330702515720627,-226.9433509933397,1.0,0.0,3.0,0.4638980500000001,0.46350345,0.8688290000000001,0.8735673749999999,0.28658279537054665,0.2919916161319843,1.54,13.654229623438503,3.727714220842778,0.0,13.654229623438503,3.727714220842778
Least-Loaded,5,5,50,999,-24.140562402904553,29.404386719595937,7.866874606385434,-106.5187229096307,1.0,0.0,4.38,0.47440805,0.48435344999999996,0.7471545,0.773030375,0.1879897813645179,0.19125173494289996,0.86,15.082911770089334,4.103833546458668,0.0,15.082911770089334,4.103833546458668
Round-Robin,5,5,50,999,-33.97708941795916,38.47303431589539,7.070155691466144,-130.52754000649287,1.0,0.0,4.5,0.47218305,0.46872594999999995,0.7883247500000001,0.78395775,0.22272378903804696,0.2212111723474912,1.06,12.42936429382206,3.3713449413954693,0.0,12.42936429382206,3.3713449413954693
PPO,5,5,50,999,1.0610850954728461,10.423482052511412,9.32480950548582,-48.17431360874541,1.0,0.0,3.9,0.38798805000000003,0.39525095,0.6168665,0.6432065,0.16478539465144684,0.17532280898054478,0.18,13.217609194888627,3.58911588813607,0.0,13.217609194888627,3.58911588813607
DQN,5,5,50,999,3.195448073438877,5.097408455575829,8.71184811350334,-27.40878891087018,1.0,0.0,3.86,0.39914305,0.4052384499999999,0.62138525,0.6330555,0.16800453805327492,0.16514140795110435,0.14,13.768476836214525,3.7608812874648603,0.0,13.768476836214525,3.7608812874648603
A2C,5,5,50,999,2.150518531124581,7.682697415956526,8.621710562500379,-31.96123956867047,0.996,0.02,3.92,0.39309304999999994,0.39761595,0.63216675,0.62344875,0.17018284639322961,0.15855020890345844,0.22,13.7524450969031,3.7159198663721775,0.04,14.116445096903101,3.805354755807067
