agent,num_nodes,num_services,episodes,seed,mean_reward,std_reward,max_reward,min_reward,placement_rate,failed_count,used_nodes,avg_cpu_util,avg_mem_util,max_cpu_util,max_mem_util,cpu_imbalance,mem_imbalance,hotspot_count,total_latency_cost,avg_latency_cost,failed_dependency_edges,effective_latency_cost,avg_effective_latency_cost
Random,5,5,50,999,-66.72490480167961,44.222905445528276,-1.4924454164053524,-180.41450138877946,0.76,1.2,2.82,0.38427305000000006,0.3937909499999999,0.733587,0.7661290000000001,0.22487173482755318,0.2434258969092144,0.78,9.5133628929431,2.5820068836600525,2.34,25.689362892943098,6.919594734098629
First-Fit,5,5,50,999,-78.89018310321387,54.24942089581799,-3.4897483018397253,-227.46918150011163,1.0,0.0,3.0,0.4638980500000001,0.46350345,0.8688290000000001,0.8735673749999999,0.28658279537054665,0.2919916161319843,1.54,13.134568431278705,3.5952822522973675,0.0,13.134568431278705,3.5952822522973675
Least-Loaded,5,5,50,999,-24.84511970895785,29.286789115401067,5.729594557695463,-107.22755380228489,1.0,0.0,4.38,0.47440805,0.48435344999999996,0.7471545,0.773030375,0.1879897813645179,0.19125173494289996,0.86,18.997119025941007,5.148216022102247,0.0,18.997119025941007,5.148216022102247
Round-Robin,5,5,50,999,-35.466864050710974,38.427055990323154,5.123839383197467,-132.8416458974321,1.0,0.0,4.5,0.47218305,0.46872594999999995,0.7883247500000001,0.78395775,0.22272378903804696,0.2212111723474912,1.06,20.70589003133213,5.630679970486455,0.0,20.70589003133213,5.630679970486455
PPO,5,5,50,999,0.10260876620193855,10.310197119910676,8.369253565985145,-49.976117454038345,1.0,0.0,3.9,0.38798805000000003,0.39525095,0.6168665,0.6432065,0.16478539465144684,0.17532280898054478,0.18,18.54247769083812,5.014113772194109,0.0,18.54247769083812,5.014113772194109
DQN,5,5,50,999,2.1408552116799986,4.789991313047962,7.398255412048522,-26.300170940991176,1.0,0.0,3.86,0.39914305,0.4052384499999999,0.62138525,0.6330555,0.16800453805327492,0.16514140795110435,0.14,19.62732606820829,5.32871100109444,0.0,19.62732606820829,5.32871100109444
A2C,5,5,50,999,1.1512019811544665,7.5497430978191495,6.789082513885093,-30.946095380634446,0.996,0.02,3.92,0.39309304999999994,0.39761595,0.63216675,0.62344875,0.17018284639322961,0.15855020890345844,0.22,19.304203707848178,5.210687618089029,0.04,19.66820370784818,5.300122507523918
