agent,num_nodes,num_services,episodes,seed,mean_reward,std_reward,max_reward,min_reward,placement_rate,failed_count,used_nodes,avg_cpu_util,avg_mem_util,max_cpu_util,max_mem_util,cpu_imbalance,mem_imbalance,hotspot_count,total_latency_cost,avg_latency_cost,failed_dependency_edges,effective_latency_cost,avg_effective_latency_cost
Random,5,5,50,999,-66.27548640794704,44.099955747136654,-1.2859534680256726,-180.10861251691796,0.76,1.2,2.82,0.38427305000000006,0.3937909499999999,0.733587,0.7661290000000001,0.22487173482755318,0.2434258969092144,0.78,7.016594038873292,1.8951599435024356,2.34,23.19259403887329,6.232747793941012
First-Fit,5,5,50,999,-78.54871841090457,54.354869942023676,-2.6373942856469723,-227.21625485176992,1.0,0.0,3.0,0.4638980500000001,0.46350345,0.8688290000000001,0.8735673749999999,0.28658279537054665,0.2919916161319843,1.54,11.23754236289366,3.0623019474790194,0.0,11.23754236289366,3.0623019474790194
Least-Loaded,5,5,50,999,-24.08378005686564,29.191730542180633,7.492666086422373,-105.51981101467524,1.0,0.0,4.38,0.47440805,0.48435344999999996,0.7471545,0.773030375,0.1879897813645179,0.19125173494289996,0.86,14.767454292095366,4.004478905795312,0.0,14.767454292095366,4.004478905795312
Round-Robin,5,5,50,999,-35.220273264457866,38.41209667918153,5.035491635770012,-132.25802489383693,1.0,0.0,4.5,0.47218305,0.46872594999999995,0.7883247500000001,0.78395775,0.22272378903804696,0.2212111723474912,1.06,19.33594121881491,5.279321694132364,0.0,19.33594121881491,5.279321694132364
PPO,5,5,50,999,0.6066571416406519,10.191077824568968,8.290456308750821,-48.39314351956896,1.0,0.0,3.9,0.38798805000000003,0.39525095,0.6168665,0.6432065,0.16478539465144684,0.17532280898054478,0.18,15.74220893840082,4.2502974213892095,0.0,15.74220893840082,4.2502974213892095
DQN,5,5,50,999,2.7177754361137763,4.786448989360692,8.018245066882757,-26.202477335810705,1.0,0.0,3.86,0.39914305,0.4052384499999999,0.62138525,0.6330555,0.16800453805327492,0.16514140795110435,0.14,16.422213710242865,4.440531842223879,0.0,16.422213710242865,4.440531842223879
A2C,5,5,50,999,1.7486019667487125,7.523925600873058,8.018245066882757,-29.91834784895228,0.996,0.02,3.92,0.39309304999999994,0.39761595,0.63216675,0.62344875,0.17018284639322961,0.15855020890345844,0.22,15.985314898991257,4.293175061814154,0.04,16.34931489899126,4.3826099512490435
