agent,num_nodes,num_services,episodes,seed,mean_reward,std_reward,max_reward,min_reward,placement_rate,failed_count,used_nodes,avg_cpu_util,avg_mem_util,max_cpu_util,max_mem_util,cpu_imbalance,mem_imbalance,hotspot_count,total_latency_cost,avg_latency_cost,failed_dependency_edges,effective_latency_cost,avg_effective_latency_cost
Random,5,8,50,111,-105.75727624201582,59.504299036542264,-19.259344675247352,-261.2731884195029,0.7275,2.18,3.8,0.50373465,0.49479352500000007,0.832411,0.8255681249999998,0.24391452635524596,0.24595492069405406,1.54,16.705027266082308,2.6094073095365324,4.52,46.57902726608231,7.384510881931243
First-Fit,5,8,50,111,-127.32457532303344,60.691275234673434,-7.369661897461162,-290.53949546188517,0.99,0.08,3.4,0.56688465,0.546901025,0.9053979999999998,0.8909502499999999,0.27184934962821844,0.28003038832372634,2.3,24.151635115047753,3.7706597587490847,0.16,25.133635115047746,3.9398770377381735
Least-Loaded,5,8,50,111,-71.60690967438211,69.36839768765064,6.75509392938522,-250.79241397676543,0.9875,0.1,4.82,0.6265996500000001,0.6176060250000001,0.8535244999999999,0.83504075,0.16452997928922197,0.16169737687891594,1.8,35.17288230039626,5.549281225266492,0.2,36.426882300396265,5.7566992114958255
Round-Robin,5,8,50,111,-79.74292293453829,70.27466194580357,-2.727072500666242,-291.6810203391156,0.99,0.08,4.64,0.61215465,0.6026585250000001,0.8577785,0.856725125,0.1975402768332426,0.20747804083875698,2.18,42.02484245660415,6.622694671964837,0.18,43.17884245660414,6.8132899723319476
PPO,5,8,50,111,-43.77901625391174,51.880384569254474,9.144494529814116,-193.40733566257506,0.9575,0.34,4.56,0.55109465,0.544638525,0.79315425,0.7803242499999999,0.1764030379326012,0.18286172819928306,1.44,32.63160445337174,5.136227391972524,0.68,37.16560445337174,5.867597557560698
DQN,5,8,50,111,-14.420566210023852,22.02269415069411,7.165708651656953,-95.12603974788513,0.9625,0.3,4.64,0.5794246500000001,0.565131025,0.773029,0.7603475000000001,0.15211321718294887,0.1623890887720366,0.92,31.084430088460948,4.866796638283855,0.68,35.372430088460945,5.579819922712874
A2C,5,8,50,111,-43.729462786713,49.631099360418396,9.42017201933636,-196.80883910712075,0.9525,0.38,4.1,0.52415465,0.513506025,0.7886647499999999,0.798247,0.1958369415988207,0.21648342269421483,1.22,29.709259264974236,4.6751071550073435,0.8,35.033259264974234,5.5242610608006615
