agent,num_nodes,num_services,episodes,seed,mean_reward,std_reward,max_reward,min_reward,placement_rate,failed_count,used_nodes,avg_cpu_util,avg_mem_util,max_cpu_util,max_mem_util,cpu_imbalance,mem_imbalance,hotspot_count,total_latency_cost,avg_latency_cost,failed_dependency_edges,effective_latency_cost,avg_effective_latency_cost
Random,8,10,20,999,-101.28877111056279,44.81698524421805,-34.89799724638208,-208.80226120938744,0.7650000000000001,2.35,5.1,0.42607828124999997,0.4113890234375,0.8215637499999999,0.8229075,0.24807984150541476,0.2519344959144133,1.55,21.35104049907945,2.70643820470307,4.6,52.72604049907945,6.654845805536384
First-Fit,8,10,20,999,-180.12563659881135,83.72344850159483,-60.54674292756184,-352.3915208263561,1.0,0.0,4.15,0.48010953125,0.46799839843750013,0.9194043750000003,0.9362968750000003,0.30231413356347964,0.31860240090126696,3.25,23.847019347339316,2.9892239517126113,0.0,23.847019347339316,2.9892239517126113
Least-Loaded,8,10,20,999,-48.91757292615644,38.86988948041393,-0.7943574273116834,-134.28085756908436,1.0,0.0,7.5,0.5321173437500001,0.5192640234375001,0.8638925000000001,0.8234999999999999,0.1962390139428285,0.18771818411242788,1.85,45.18450978876374,5.6649998982795875,0.0,45.18450978876374,5.6649998982795875
Round-Robin,8,10,20,999,-71.60127851307783,65.92681858287696,0.22592925625275018,-238.59971027798377,1.0,0.0,7.45,0.5315235937499999,0.5124163671874999,0.8638462499999999,0.8566009375,0.21538813560085485,0.22537000104034197,2.15,38.45095797910112,4.833781645747324,0.0,38.45095797910112,4.833781645747324
PPO,8,10,20,999,-31.998025448236177,20.293911611773897,-5.954373861742377,-68.23996320219416,0.9699999999999998,0.3,4.4,0.39163296875,0.3917327734375,0.75738,0.7668121875,0.22554163883193232,0.2466393832013653,0.65,26.007086011506193,3.2801470972410653,0.7,30.432086011506193,3.794664275204288
DQN,8,10,20,999,-23.784329457849175,24.687192237829567,0.2700884060789486,-76.97147034560123,0.9949999999999999,0.05,5.15,0.41710171875,0.40674839843750005,0.751181875,0.749194375,0.21692519288763643,0.23203643909400945,0.9,34.50449113824154,4.341867982846135,0.05,34.83949113824154,4.395042586020738
A2C,8,10,20,999,-40.24064416131979,38.111223497622525,-2.403917031280343,-130.1197752464399,0.9899999999999999,0.1,5.0,0.41090640624999997,0.40361558593749997,0.724586875,0.8119778125,0.2125734399118225,0.24550377173262347,0.9,40.14262042347056,5.057149897085772,0.1,40.93262042347057,5.157228443301977
